ID,頭文字,品目名,item_name,小型家電回収対象,出し方,category,出し方のポイント,point,品目名_output,item_name_output,完全一致1,完全一致2,完全一致3
54,あ,アトマイザー(香水噴霧器)のキャップ・ノズル,atomizer (perfume sprayer)/cap/nozzle,,プラスチック製容器包装,Plastic containers and packaging,ケースのみ(中身なし)を購入した場合は燃やすごみへ。,"If you purchase only the case (without the contents), go to the Burnable garbage.",アトマイザー(香水噴霧器)のキャップ・ノズル,Atomizer 's(perfume sprayer's) cap or nozzle,nan,nan,nan
55,あ,アトマイザー(香水噴霧器:金属製),atomizer (perfume sprayer: made from metal)/bottle,,小さな金属類,Small metal items,,,アトマイザー(香水噴霧器:金属製),Atomizer (perfume sprayer)(made of metal),nan,nan,nan
56,あ,アトマイザー(香水噴霧器:プラスチック製),atomizer (perfume sprayer: made from plastic)/bottle,,プラスチック製容器包装,Plastic containers and packaging,ケースのみ(中身なし)を購入した場合は燃やすごみへ。,"If you purchase only the case (without the contents), go to the Burnable garbage.",アトマイザー(香水噴霧器:プラスチック製),Atomizer (perfume sprayer)(made of plastic),nan,nan,nan
57,あ,あぶら取り紙、あぶらとり紙,blotting papers / oil absorbing sheets,,燃やすごみ,Burnable garbage,未使用のものは古紙「雑誌・その他の紙」へ。,"For unused ones, go to the old paper ""Magazine / Other Paper"".",あぶら取り紙,oil absorbing sheets,paper,nan,nan
58,あ,あみ針(木製・プラスチック製)、編み針(木製・プラスチック製),mesh needle(wooden / plastic),,燃やすごみ,Burnable garbage,金属製のものは小さな金属類へ。,Metal ones go to Small metal itemss.,あみ針(木製・プラスチック製),mesh needle(made of wood or plastic),nan,nan,nan
59,あ,アロマポット(陶器・ガラス製),aroma pot (made of pottery / glass),,燃えないごみ,Non-burnable garbage,新聞紙等に包み品名を表示する。プラスチック製のものは燃やすごみへ。,Wrap the product name in newspapers. Plastic ones are to burn garbage.,アロマポット(陶器・ガラス製),Aroma pot (made of pottery / glass),nan,nan,nan
60,あ,油紙,oil paper,,古紙(雑誌・その他の紙）,Recycle paper (magazines、 other paper),,,油紙,Oil paper,paper,nan,nan
61,あ,アイスクリームメーカー(プラスチック製),ice cream maker (made of plastic),,燃やすごみ,Burnable garbage,,,アイスクリームメーカー(プラスチック製),Ice cream maker (made of plastic),nan,nan,nan
63,あ,アイスクリームメーカー(金属製),ice cream maker (made of metal),,粗大ごみ,Oversized garbage,30cm未満のものは小さな金属類へ。,Those with less than 30cm to Small metal itemss.,アイスクリームメーカー(金属製),Ice cream maker (made of metal),nan,nan,nan
65,あ,アイライナー・アイブロー、アイブロウ,eyeliner / eyebrow / cosmetics / pen,,燃やすごみ,Burnable garbage,プラスチック製のものはプラスチック製容器包装へ(プラマークを確認)。,"For plastic, go to plastic container wrapping (check the plastic mark).",アイライナー・アイブロー,Eyeliner / eyebrow,nan,nan,nan
66,あ,アイロンプリント紙、アイロンプリントシート、アイロン転写紙,iron transfer paper,,燃やすごみ,Burnable garbage,,,アイロンプリント紙,Iron transfer paper,nan,nan,nan
67,あ,あみじゃくし、網じゃくし、網杓子,a ladle strainerzs/a skimmes,,小さな金属類,Small metal items,,,あみじゃくし,ladle strainers,lable,nan,nan
68,あ,アルミボックス,aluminum box,,小さな金属類,Small metal items,30cm以上のものは粗大ごみ。,Those with 30cm or more are oversized garbage.,アルミボックス,Aluminum box,box,nan,nan
69,あ,アングル鋼材、山形鋼,angle (steel material)/,,粗大ごみ,Oversized garbage,30cm未満のものは小さな金属類。,Things less than 30cm are Small metal itemss.,アングル(鋼材),Angle (steel material),nan,nan,nan
70,あ,アイスペール(金属製),ice pale (metal),,小さな金属類,Small metal items,,,アイスペール(金属製),Ice pale (made of metal),nan,nan,nan
71,あ,アイスペール(プラスチック製),ice pale (made of plastic),,燃やすごみ,Burnable garbage,,,アイスペール(プラスチック製),Ice pale (made of plastic),nan,nan,nan
72,あ,アイロンマット,ironing mat/iron mat,,燃やすごみ,Burnable garbage,アイロン台は粗大ごみへ(金属製30cm以上、木・プラスチック製50cm以上のもの)。,"The ironing stand is to oversized garbage (metal 30 cm or more, tree / plastic 50 mm or more).",アイロンマット,Ironing mat,nan,nan,nan
73,あ,アルミマット、キャンピングマット、レジャーマット,aluminum mat,,燃やすごみ,Burnable garbage,折りたたんで50cm以上のものは粗大ごみへ。,Fold it to over 50cm to oversized garbage.,アルミマット,Aluminum mat,nan,nan,nan
74,あ,アイロンケース(プラスチック製),iron case (made of plastic),,燃やすごみ,Burnable garbage,,,アイロンケース(プラスチック製),Iron case (made of plastic),nan,nan,nan
75,あ,アームスタンド,arm stand,,小さな金属類,Small metal items,30cm以上のものは粗大ごみへ。,"If you are more than 30 cm, go to the oversized garbage.",アームスタンド,Arm stand,nan,nan,nan
77,あ,編み針、かぎ針、あみ針,knitting needle,,燃やすごみ,Burnable garbage,金属製のものは、小さな金属類へ。,Metal ones go to Small metal itemss.,編み針,knitting needle,nan,nan,nan
78,あ,泡立てネット、洗顔ネット,whipping net/foaming net,,燃やすごみ,Burnable garbage,,,泡立てネット,foaming net,nan,nan,nan
79,あ,油引き、油ひき、あぶらひき,oiling brush,,燃やすごみ,Burnable garbage,持ち手がプラスチック製のもの。持ち手が金属製のものは小さな金属類へ。,"The handle is made of plastic. If the handle is made of metal, go to a Small metal items.",油引き,oiling brush,brush,nan,nan
80,あ,アイロン台カバー,iron stand cover/cover of clothes ironing board ,,燃やすごみ,Burnable garbage,,,アイロン台カバー,Cover of clothes ironing board ,nan,nan,nan
81,あ,アコーディオンドア,accordion door,,粗大ごみ,Oversized garbage,,,アコーディオンドア,accordion door,door,nan,nan
82,あ,アルミテープ、滑り止めテープ,aluminum tape,,燃やすごみ,Burnable garbage,,,アルミテープ,Aluminum tape,aluminium,tape,nan
83,あ,アルミ台、アルミ作業台,aluminum stand,,粗大ごみ,Oversized garbage,,,アルミ台,Aluminum stand,nan,nan,nan
84,あ,アンカーボルト,anchor bolt/construction,,小さな金属類,Small metal items,30cm以上のものは粗大ごみへ。,"If you are 30cm or more, go to oversized garbage.",アンカーボルト,Anchor bolt,nan,nan,nan
85,あ,アンクルウエイト,ankle weight,,燃やすごみ,Burnable garbage,重りを取り外しできる場合は、重りは小さな金属類へ。,"If the weight can be removed, the weight is to a Small metal items.",アンクルウエイト,Ankle weight,nan,nan,nan
86,あ,あめの棒、飴の棒,candy stick/lollipop stick,,燃やすごみ,Burnable garbage,,,あめの棒,lollipop stick,candy,nan,nan
88,あ,握力計,grip dynamometer/grip strength tester/hand dynamometer,,燃やすごみ,Burnable garbage,金属製のものは小さな金属類へ。,Metal ones go to Small metal itemss.,握力計,grip dynamometer,nan,nan,nan
89,あ,アイスクラッシャー、氷粉砕機、かき氷機,ice crusher,,燃やすごみ,Burnable garbage,金属製のものは小さな金属類へ。,Metal ones go to Small metal itemss.,アイスクラッシャー,Ice crusher,nan,nan,nan
90,あ,あかすり、垢すり,scurf scrubber/grime remover,,燃やすごみ,Burnable garbage,,,あかすり,scurf scrubber,nan,nan,nan
91,あ,麻ひも,hemp string/hemp cord/hemp rope/flaxen string/flaxen cord/flaxen rope/hempen string/hempen cord/hempen rope,,燃やすごみ,Burnable garbage,,,麻ひも,hemp rope,rope,nan,nan
92,あ,IH調理器、IHクッキングヒーター,ih cooker/induction cooker/induction cooktop/induction hob/kitchen,,粗大ごみ,Oversized garbage,金属製で30cm未満のものは小さな金属類、金属製以外で50cm未満のものは燃やすごみへ。,"Metal and less than 30cm are Small metal itemss, and those with less than 50cm other than metal are burned to Burnable garbage.",IH調理器,induction cooker,cooktop,nan,nan
93,あ,アイシャドウチップ、アイシャドーチップ、アイカラーチップ,eye shadow chip/cosmetic applicator,,燃やすごみ,Burnable garbage,,,アイシャドウチップ,cosmetic applicator,nan,nan,nan
94,あ,アロマライト(ガラス・陶器製)、アロマランプ,aromalite/aroma lamp (glass / pottery),,燃えないごみ,Non-burnable garbage,電球は外す(外せるものの場合)。,Remove the light bulb (if it can be removed).,アロマライト(ガラス・陶器製),aroma lamp (made of glass or pottery),lamp,table lamp,nan
95,あ,アイスクリームのふた(紙製),ice cream lid (made of paper),,燃やすごみ,Burnable garbage,,,アイスクリームのふた(紙製),Ice cream lid (made of paper),ice cream,nan,nan
96,あ,アイスクリームのふた(プラスチック製),ice cream lid (made of plastic),,プラスチック製容器包装,Plastic containers and packaging,,,アイスクリームのふた(プラスチック製),Ice cream lid (made of plastic),ice cream,nan,nan
97,あ,アルコール鮮度保持剤/食品品質保持剤,alcohol freshness enhancer/freshness-keeping agent,,燃やすごみ,Burnable garbage,,,アルコール鮮度保持剤,Alcohol freshness-keeping agent,nan,nan,nan
98,あ,アームバンド、アームガーター,armband/arm band/wristband,,燃やすごみ,Burnable garbage,,,アームバンド,Arm band,nan,nan,nan
99,あ,照明用安定器、スタビライザー,lamp stabilizer/chokecoil/,,小さな金属類,Small metal items,30cm以上のものは粗大ごみへ プラスチック製のものは燃やすごみへ。,Those with 30cm or more are oversized garbage to the Burnable garbage.,照明用安定器,Stabilizer (for lighting),nan,nan,nan
100,あ,汗取りマット、防水マット,water proof mattress/mattress pad,,燃やすごみ,Burnable garbage,,,汗取りマット,water proof mattress,mattress,nan,nan
101,あ,足蹴り自転車、ペダル無し自転車、キックバイク、ストライダー,foot kick bicycle/straider,,粗大ごみ,Oversized garbage,,,足蹴り自転車,straider,bicycle,nan,nan
102,あ,アコーディオンフェンス,accordion fence,,粗大ごみ,Oversized garbage,,,アコーディオンフェンス,Accordion Fence,fence,nan,nan
103,あ,アロマキャンドルのビン,aroma candle's bottle,,燃えないごみ,Non-burnable garbage,,,アロマキャンドルのビン,Aroma candle's bottle,nan,nan,nan
104,あ,アイススケートの刃,ice skating blade/boots shoe/sneaker,,小さな金属類,Small metal items,30cm以上のものは粗大ごみへ。,"If you are 30cm or more, go to oversized garbage.",アイススケートの刃,Ice skating blade,nan,nan,nan
105,あ,アクセサリー(プラスチック製)、ピアス、イヤリング、ブレスレット、ネックレス,accessories (made of plastic) / piercing / earrings / bracelets/necklace,,燃やすごみ,Burnable garbage,,,アクセサリー(プラスチック製),Accessories (made of plastic),accessories,nan,nan
106,あ,破魔弓,bow used to drive off evil/toy bow and arrow/hamayumi,,粗大ごみ,Oversized garbage,50cm未満のものは燃やすごみへ。,Those who are less than 50cm are to Burnable garbage.,破魔弓,Hamayumi(bow used to drive off evil)(toy bow and arrow),nan,nan,nan
107,い,衣装ケース、クローゼットケース,costume case / clothes case / storage bin / storage box / storage drawer / plastic box,,粗大ごみ,Oversized garbage,木製・プラスチック製で50cm未満のものは燃やすごみへ。金属製で30cm未満のものは小さな金属類へ。,Made of wooden and plastic and less than 50cm to Burnable garbage. Metal and less than 30cm to Small metal itemss.,衣装ケース,storage box,nan,nan,nan
108,い,いす・座いす・応接用いす,chair / sitting chair / reception chair,,粗大ごみ,Oversized garbage,金属製以外で50cm未満のものは燃やすごみへ。,"If it is less than 50cm other than metal, go to the Burnable garbage.",いす・座いす・応接用いす,Issues、 sitting chairs、 reception,chair,office chair,nan
109,い,一輪車,unicycle,,粗大ごみ,Oversized garbage,,,一輪車,Unicycle,nan,nan,nan
111,い,一升びん,1.8 liter bottles/1 sho bottles/1.8 litre bottles,,販売店または缶・びん・ペットボトル,Dealer or cans、 bottles、 PET bottles,,,一升びん,1.8 liter bottle,bottle,beer bottle,alcohol
112,い,一升びんのフタ(上が金属、下がプラスチック製),"1.8 liter bottle's lid (metal on top、 plastic on the bottom),1 sho bottle",,プラスチック製容器包装,Plastic containers and packaging,分離可能であれば分けて金属部分は小さな金属類へ。,"If it is separated, divide it and the metal part goes to a Small metal items.",一升びんのフタ(上が金属、下がプラスチック製),1.8 liter bottle's lid (metal on top、 plastic on the bottom),nan,nan,nan
113,い,一斗缶,18 liter square can/18 litre square can/18-liter square can,,粗大ごみ,Oversized garbage,中身を使い切ってから。,Use up the contents.,一斗缶,18-liter square can,tin,nan,nan
114,い,衣類乾燥機,clothing dryer / washer,,家電リサイクル,Home appliance recycle,出し方の詳細はリンクを参照ください。,Please refer to the link for details on how to put it out.,衣類乾燥機,Clothing dryer,nan,nan,nan
115,い,印鑑、はんこ、ハンコ、印顆、印章、印影、スタンプ,signature stamp / stamp / seal /sticker,,燃やすごみ,Burnable garbage,,,ハンコ,signature stamp,nan,nan,nan
116,い,インクカートリッジ,ink cartridge,,専用回収箱または燃やすごみ,Ink cartridge collection box or flammable garbage,区役所・図書館・行政サービスコーナーなどにある回収箱をご利用ください。,"Please use the collection box in the ward office, library, administrative service corner, etc.",インクカートリッジ,ink cartridge,nan,nan,nan
117,い,飲料パック、パックジュース、紙パック,beverage pack / orange juice,,古紙（紙パック）,Recycle paper (paper packaging),水洗いして切り開く。内側がアルミのものは燃やすごみへ。,Wash water and cut in. Aluminum inside is to Burnable garbage.,飲料パック,Beverage pack,juice,nan,nan
118,い,衣服、洋服、柄シャツ,clothes/clothing/sleeve,,古布,Used Cloth,cover when purchasing clothing (made of plastic)+D117:,"What is torn and cannot be used, clothing with cotton is burned.",衣服,clothes,clothing,nan,nan
119,い,イヤホン、イヤフォン、イアホン、イアフォン,earphone / electronics / microphone,◎,燃やすごみ,Burnable garbage,布製・プラスチック製のケースも燃やすごみへ。ワイヤレスのものは充電池を抜いて。充電池は回収協力店へ。充電池を取り外せないものは、他の燃やすごみとは別の袋で出す。,"For clothing and plastic cases are also burned.For wireless ones, remove the rechargeable battery. The rechargeable battery goes to the collection cooperating store. If the rechargeable battery cannot be removed, put it in a bag different from other Burnable garbage.",イヤホン,earphone,nan,nan,nan
120,い,衣類カバー,clothing cover / coat / vest,,燃やすごみ,Burnable garbage,,,衣類カバー,Clothing cover,nan,nan,nan
121,い,衣類購入時のカバー(プラスチック製),cover when purchasing clothing (made of plastic),,プラスチック製容器包装,Plastic containers and packaging,台紙・包装紙は古紙(雑誌・その他紙)へ。,The mount / wrapping paper is to the used paper (magazine / other paper).,衣類購入時のカバー(プラスチック製),Cover when purchasing clothing (made of plastic),nan,nan,nan
122,い,入れ歯,denture/teeth/mouth,,燃やすごみ,Burnable garbage,金属製のものは小さな金属類へ。,Metal ones go to Small metal itemss.,入れ歯,Denture,nan,nan,nan
123,い,インクリボン,inked ribbon/plastic wrap,,燃やすごみ,Burnable garbage,,,インクリボン,ink ribbon,nan,nan,nan
124,い,印刷機、コピー機、プリンター,printer/machine,,粗大ごみ,Oversized garbage,事業で排出するものは、事業系ごみ。,What is excreted in the business is business garbage.,印刷機,Printer,nan,nan,nan
125,い,印刷紙、プリント紙、コピー用紙,printing paper,,古紙(雑誌・その他の紙）,Recycle paper (magazines、 other paper),,,印刷紙,Printed paper,paper,nan,nan
126,い,印刷物、雑誌、,printedk121 matter / printed papers,,古紙(雑誌・その他の紙）,Recycle paper (magazines、 other paper),,,印刷物,Printed matter,paper,nan,nan
127,い,インラインスケート、ローラースケート、ローラーブレード,inline skating / roller skate / rollerblade / boot,,燃やすごみ,Burnable garbage,金属製のものは小さな金属類へ。,Metal ones go to Small metal itemss.,インラインスケート,Inline skating,nan,nan,nan
128,い,い草上敷き,rush grass mat / rush grass carpet,,粗大ごみ,Oversized garbage,畳んで50cm未満のものは燃やすごみへ。,"If you fold it down to less than 50cm, go to the Burnable garbage.",い草上敷き,I grass,nan,nan,nan
130,い,位牌,mortuary tablet / memorial tablet/ altar /prayer,,燃やすごみ,Burnable garbage,,,位牌,mortuary tablet,nan,nan,nan
131,い,インスタントカメラ、ポラロイドカメラ,instant camera / polaroid camera,,燃やすごみ,Burnable garbage,,,インスタントカメラ,instant camera,camera,nan,nan
132,い,イーゼル、画架,easel/stand,,粗大ごみ,Oversized garbage,50cm未満のものは燃やすごみへ。,Those who are less than 50cm are to Burnable garbage.,イーゼル,easel,nan,nan,nan
133,い,鋳物,casting / cast metal,,小さな金属類,Small metal items,30cm以上のものは粗大ごみへ。,"If you are 30cm or more, go to oversized garbage.",鋳物,casting,nan,nan,nan
134,い,インソール、中敷き、中じき,insole/shoe,,燃やすごみ,Burnable garbage,,,インソール,insole,nan,nan,nan
135,い,井戸水用ポンプ、井戸ポンプ,well water pump/machine,,粗大ごみ,Oversized garbage,30cm未満のものは小さな金属類へ。,Those with less than 30cm to Small metal itemss.,井戸水用ポンプ,Well water pump,nan,nan,nan
